"house_date,house_price"
2010年12月房价,14107元/㎡
2010年11月房价,14030元/㎡
2010年10月房价,13898元/㎡
2010年09月房价,13736元/㎡
2010年08月房价,13612元/㎡
2010年07月房价,13619元/㎡
2010年06月房价,13689元/㎡
2010年05月房价,13613元/㎡
2010年04月房价,13182元/㎡
2010年03月房价,12138元/㎡
2010年02月房价,11728元/㎡
2010年01月房价,11400元/㎡
2011年12月房价,14442元/㎡
2011年11月房价,14624元/㎡
2011年10月房价,14776元/㎡
2011年09月房价,14902元/㎡
2011年08月房价,14981元/㎡
2011年07月房价,15000元/㎡
2011年06月房价,15017元/㎡
2011年05月房价,15017元/㎡
2011年04月房价,15016元/㎡
2011年03月房价,14873元/㎡
2011年02月房价,14491元/㎡
2011年01月房价,14275元/㎡
2012年12月房价,14750元/㎡
2012年11月房价,14624元/㎡
2012年10月房价,14562元/㎡
2012年09月房价,14460元/㎡
2012年08月房价,14395元/㎡
2012年07月房价,14281元/㎡
2012年06月房价,14213元/㎡
2012年05月房价,14138元/㎡
2012年04月房价,14222元/㎡
2012年03月房价,14254元/㎡
2012年02月房价,14156元/㎡
2012年01月房价,14253元/㎡
2013年12月房价,17313元/㎡
2013年11月房价,17084元/㎡
2013年10月房价,16852元/㎡
2013年09月房价,16694元/㎡
2013年08月房价,16425元/㎡
2013年07月房价,16144元/㎡
2013年06月房价,15800元/㎡
2013年05月房价,15537元/㎡
2013年04月房价,15274元/㎡
2013年03月房价,15021元/㎡
2013年02月房价,14852元/㎡
2013年01月房价,14815元/㎡
2014年12月房价,18099元/㎡
2014年11月房价,18043元/㎡
2014年10月房价,17982元/㎡
2014年09月房价,17985元/㎡
2014年08月房价,18001元/㎡
2014年07月房价,18002元/㎡
2014年06月房价,17989元/㎡
2014年05月房价,18056元/㎡
2014年04月房价,17984元/㎡
2014年03月房价,17929元/㎡
2014年02月房价,17675元/㎡
2014年01月房价,17472元/㎡
2015年12月房价,18697元/㎡
2015年11月房价,18594元/㎡
2015年10月房价,18596元/㎡
2015年09月房价,18436元/㎡
2015年08月房价,18446元/㎡
2015年07月房价,18502元/㎡
2015年06月房价,18522元/㎡
2015年05月房价,18473元/㎡
2015年04月房价,18264元/㎡
2015年03月房价,18131元/㎡
2015年02月房价,18231元/㎡
2015年01月房价,18295元/㎡
2016年12月房价,24867元/㎡
2016年11月房价,24715元/㎡
2016年10月房价,23647元/㎡
2016年09月房价,22091元/㎡
2016年08月房价,21500元/㎡
2016年07月房价,21352元/㎡
2016年06月房价,21455元/㎡
2016年05月房价,20690元/㎡
2016年04月房价,20190元/㎡
2016年03月房价,19686元/㎡
2016年02月房价,19009元/㎡
2016年01月房价,18968元/㎡
2017年12月房价,25733元/㎡
2017年11月房价,25768元/㎡
2017年10月房价,25877元/㎡
2017年09月房价,26004元/㎡
2017年08月房价,26036元/㎡
2017年07月房价,25995元/㎡
2017年06月房价,25914元/㎡
2017年05月房价,25887元/㎡
2017年04月房价,25700元/㎡
2017年03月房价,25471元/㎡
2017年02月房价,25057元/㎡
2017年01月房价,25000元/㎡
2018年12月房价,27568元/㎡
2018年11月房价,27335元/㎡
2018年10月房价,27129元/㎡
2018年09月房价,27117元/㎡
2018年08月房价,26386元/㎡
2018年07月房价,26191元/㎡
2018年06月房价,25953元/㎡
2018年05月房价,25889元/㎡
2018年04月房价,25839元/㎡
2018年03月房价,25844元/㎡
2018年02月房价,25691元/㎡
2018年01月房价,25757元/㎡
