areaName,longitude,latitude,unitPrice,rooms,halls,floors,houseStruct,floorArea,directions,decoration,elevaPropora,isElevator,yearProperty,totalPrice
鼓楼,114.3419056,34.79798255,39805,3,1,2,1,75.87,1,3,2,0,70,302
玄武,118.8489373,32.07176566,28835,2,1,2,1,72.83,0,3,2,0,70,210
玄武,118.8489373,32.07176566,28167,2,1,1,1,64.97,0,3,2,0,70,183
鼓楼,114.3419056,34.79798255,68574,2,1,1,1,51.04,0,3,3,0,70,350
秦淮,118.8172207,32.00796914,32763,2,1,3,1,72.95,0,3,3,0,70,239
江宁,118.8354182,31.86397143,36881,3,2,3,1,85.41,0,3,2.5,1,70,315
玄武,118.8489373,32.07176566,26510,3,2,3,1,111.28,1,3,2,1,70,295
建邺,118.7133418,32.01251821,62648,3,1,3,1,126.9,1,3,1,1,70,795
江宁,118.8354182,31.86397143,21896,3,2,2,1,116.46,0,3,3,1,70,255
浦口,118.5691248,32.0590623,23029,2,2,2,1,74.69,1,3,2,0,70,172
江宁,118.8354182,31.86397143,24815,3,2,3,1,128.15,0,3,4,1,70,318
江宁,118.8354182,31.86397143,21076,3,2,3,1,116.25,0,2,3,1,70,245
玄武,118.8489373,32.07176566,30554,2,2,2,1,78.55,0,3,2,0,70,240
雨花台,118.7219786,31.95455211,32445,2,1,3,2,70.89,0,3,100,1,70,230
鼓楼,114.3419056,34.79798255,34989,1,1,1,1,42.3,0,3,3,0,70,148
鼓楼,114.3419056,34.79798255,44066,2,1,2,1,53.33,0,2,2,0,70,235
鼓楼,114.3419056,34.79798255,76414,2,1,3,1,67.92,0,2,4,1,70,519
建邺,118.7133418,32.01251821,35010,5,2,3,暂无数据,188.52,0,3,2,0,70,660
江宁,118.8354182,31.86397143,22521,3,2,3,1,122.11,0,2,2,0,70,275
鼓楼,114.3419056,34.79798255,45010,3,1,1,1,66.43,1,2,2,0,70,299
江宁,118.8354182,31.86397143,19679,3,2,2,1,141.78,1,3,2,0,70,279
浦口,118.5691248,32.0590623,22619,3,2,3,1,79.14,0,2,2,1,70,179
浦口,118.5691248,32.0590623,25589,3,2,1,1,121.15,0,3,1.5,1,70,310
鼓楼,114.3419056,34.79798255,31957,2,1,2,1,67.28,1,3,3,1,70,215
江宁,118.8354182,31.86397143,36247,3,2,1,1,85.25,0,3,2.5,1,70,309
浦口,118.5691248,32.0590623,22658,2,1,1,暂无数据,68.41,0,3,3,1,70,155
江宁,118.8354182,31.86397143,19879,3,2,1,1,105.14,0,1,2,0,70,209
浦口,118.5691248,32.0590623,23159,3,1,3,1,90.68,0,2,2,0,70,210
雨花台,118.7219786,31.95455211,30595,2,2,3,1,76.81,0,3,4,0,70,235
江宁,118.8354182,31.86397143,19519,3,2,1,1,137.82,0,3,2,0,70,269
雨花台,118.7219786,31.95455211,38898,2,1,1,1,77.64,1,3,1.5,1,70,302
秦淮,118.8172207,32.00796914,21545,2,1,2,暂无数据,85.87,0,1,3.5,1,70,185
江宁,118.8354182,31.86397143,31292,2,1,2,2,52.09,0,2,15,1,70,163
鼓楼,114.3419056,34.79798255,31937,2,1,2,1,58.24,0,3,3,0,70,186
浦口,118.5691248,32.0590623,28916,2,2,1,暂无数据,78.85,1,2,1.5,1,70,228
秦淮,118.8172207,32.00796914,36552,3,2,2,1,72.5,0,2,2,0,70,265
秦淮,118.8172207,32.00796914,29105,2,1,2,1,67,1,2,5,0,70,195
江宁,118.8354182,31.86397143,30531,2,2,2,1,76.58,1,3,50,1,70,233.8
玄武,118.8489373,32.07176566,31834,1,1,3,1,47.12,0,3,25,1,70,150
浦口,118.5691248,32.0590623,24894,2,1,3,1,63.47,0,2,2,0,70,158
江宁,118.8354182,31.86397143,29008,2,1,2,1,84.46,1,2,2,0,70,245
江宁,118.8354182,31.86397143,37083,3,1,3,1,113.8,0,3,2,1,70,422
建邺,118.7133418,32.01251821,43475,3,2,1,1,118.46,0,3,1.5,1,70,515
建邺,118.7133418,32.01251821,61083,2,2,2,暂无数据,48.95,0,3,4.5,1,70,299
秦淮,118.8172207,32.00796914,27850,2,1,3,1,50.27,0,2,2,0,70,140
浦口,118.5691248,32.0590623,21184,3,2,3,1,105.27,1,3,2,0,70,223
江宁,118.8354182,31.86397143,16578,3,2,2,1,86.26,0,1,2,1,70,143
栖霞,118.9637248,32.16942426,20570,3,1,3,1,89.94,0,2,1.5,1,70,185
江宁,118.8354182,31.86397143,25690,4,2,1,1,117.56,0,3,2,1,70,302
浦口,118.5691248,32.0590623,24264,3,2,2,1,84.49,0,3,2,0,70,205
鼓楼,114.3419056,34.79798255,33440,2,2,2,1,122.61,1,2,2,1,70,410
雨花台,118.7219786,31.95455211,28652,2,1,3,1,53.4,1,2,2,0,70,153
建邺,118.7133418,32.01251821,59689,2,2,2,1,93.82,0,3,2,1,70,560
栖霞,118.9637248,32.16942426,25611,2,1,2,1,58.57,1,2,3,0,70,150
浦口,118.5691248,32.0590623,22966,2,2,1,1,75.33,0,3,2,0,70,173
浦口,118.5691248,32.0590623,21064,2,2,1,1,75.96,1,2,2,1,70,160
江宁,118.8354182,31.86397143,29741,2,1,2,1,98.52,0,1,2,1,70,293
鼓楼,114.3419056,34.79798255,33173,2,1,2,1,57.88,0,3,2,0,70,192
江宁,118.8354182,31.86397143,30067,2,1,2,1,67.85,1,3,2,1,70,204
