areaName,unitPrice,rooms,halls,floors,houseStruct,floorArea,directions,decoration,elevaPropora,isElevator,yearProperty,totalPrice
鼓楼,39805,3,1,2,1,75.87,1,3,2,0,70,302
玄武,28835,2,1,2,1,72.83,0,3,2,0,70,210
玄武,28167,2,1,1,1,64.97,0,3,2,0,70,183
鼓楼,68574,2,1,1,1,51.04,0,3,3,0,70,350
秦淮,32763,2,1,3,1,72.95,0,3,3,0,70,239
江宁,36881,3,2,3,1,85.41,0,3,2.5,1,70,315
玄武,26510,3,2,3,1,111.28,1,3,2,1,70,295
建邺,62648,3,1,3,1,126.9,1,3,1,1,70,795
江宁,21896,3,2,2,1,116.46,0,3,3,1,70,255
浦口,23029,2,2,2,1,74.69,1,3,2,0,70,172
江宁,24815,3,2,3,1,128.15,0,3,4,1,70,318
江宁,21076,3,2,3,1,116.25,0,2,3,1,70,245
玄武,30554,2,2,2,1,78.55,0,3,2,0,70,240
雨花台,32445,2,1,3,2,70.89,0,3,100,1,70,230
鼓楼,34989,1,1,1,1,42.3,0,3,3,0,70,148
鼓楼,44066,2,1,2,1,53.33,0,2,2,0,70,235
鼓楼,76414,2,1,3,1,67.92,0,2,4,1,70,519
建邺,35010,5,2,3,暂无数据,188.52,0,3,2,0,70,660
江宁,22521,3,2,3,1,122.11,0,2,2,0,70,275
鼓楼,45010,3,1,1,1,66.43,1,2,2,0,70,299
江宁,19679,3,2,2,1,141.78,1,3,2,0,70,279
浦口,22619,3,2,3,1,79.14,0,2,2,1,70,179
浦口,25589,3,2,1,1,121.15,0,3,1.5,1,70,310
鼓楼,31957,2,1,2,1,67.28,1,3,3,1,70,215
江宁,36247,3,2,1,1,85.25,0,3,2.5,1,70,309
浦口,22658,2,1,1,暂无数据,68.41,0,3,3,1,70,155
江宁,19879,3,2,1,1,105.14,0,1,2,0,70,209
浦口,23159,3,1,3,1,90.68,0,2,2,0,70,210
雨花台,30595,2,2,3,1,76.81,0,3,4,0,70,235
江宁,19519,3,2,1,1,137.82,0,3,2,0,70,269
雨花台,38898,2,1,1,1,77.64,1,3,1.5,1,70,302
秦淮,21545,2,1,2,暂无数据,85.87,0,1,3.5,1,70,185
江宁,31292,2,1,2,2,52.09,0,2,15,1,70,163
鼓楼,31937,2,1,2,1,58.24,0,3,3,0,70,186
浦口,28916,2,2,1,暂无数据,78.85,1,2,1.5,1,70,228
秦淮,36552,3,2,2,1,72.5,0,2,2,0,70,265
秦淮,29105,2,1,2,1,67,1,2,5,0,70,195
江宁,30531,2,2,2,1,76.58,1,3,50,1,70,233.8
玄武,31834,1,1,3,1,47.12,0,3,25,1,70,150
浦口,24894,2,1,3,1,63.47,0,2,2,0,70,158
江宁,29008,2,1,2,1,84.46,1,2,2,0,70,245
江宁,37083,3,1,3,1,113.8,0,3,2,1,70,422
建邺,43475,3,2,1,1,118.46,0,3,1.5,1,70,515
建邺,61083,2,2,2,暂无数据,48.95,0,3,4.5,1,70,299
秦淮,27850,2,1,3,1,50.27,0,2,2,0,70,140
浦口,21184,3,2,3,1,105.27,1,3,2,0,70,223
江宁,16578,3,2,2,1,86.26,0,1,2,1,70,143
栖霞,20570,3,1,3,1,89.94,0,2,1.5,1,70,185
江宁,25690,4,2,1,1,117.56,0,3,2,1,70,302
浦口,24264,3,2,2,1,84.49,0,3,2,0,70,205
鼓楼,33440,2,2,2,1,122.61,1,2,2,1,70,410
雨花台,28652,2,1,3,1,53.4,1,2,2,0,70,153
建邺,59689,2,2,2,1,93.82,0,3,2,1,70,560
栖霞,25611,2,1,2,1,58.57,1,2,3,0,70,150
浦口,22966,2,2,1,1,75.33,0,3,2,0,70,173
浦口,21064,2,2,1,1,75.96,1,2,2,1,70,160
江宁,29741,2,1,2,1,98.52,0,1,2,1,70,293
鼓楼,33173,2,1,2,1,57.88,0,3,2,0,70,192
江宁,30067,2,1,2,1,67.85,1,3,2,1,70,204
秦淮,31057,2,1,2,1,58.28,1,2,2,0,70,181
江宁,43532,3,2,3,1,129.79,1,3,1,1,70,565
建邺,28732,2,1,2,1,58.82,1,2,2,0,70,169
建邺,44830,2,2,3,1,84.32,0,3,2,1,70,378
江宁,31909,3,2,1,1,119.09,1,3,2,1,70,380
鼓楼,40772,2,1,2,1,63.77,1,3,5,1,70,260
玄武,26413,3,2,1,1,87.08,0,3,3,1,70,230
建邺,34655,2,2,1,1,74.45,0,2,2,0,70,258
秦淮,31107,2,1,2,1,65.26,1,3,2,0,70,203
秦淮,46344,3,1,2,1,59.34,0,3,2,0,70,275
浦口,19334,2,2,3,1,75,1,3,2,1,70,145
浦口,22866,2,2,3,1,85.28,1,3,2,1,70,195
浦口,24467,3,2,3,1,114.4,0,2,2,1,70,279.9
江宁,30705,4,2,2,1,133.53,0,3,1.5,1,70,410
雨花台,25810,2,1,3,1,50.37,1,2,2,0,70,130
浦口,24160,3,2,1,1,125,1,3,1.333333333,1,70,302
秦淮,67023,2,1,3,1,33.69,0,2,3,0,70,225.8
玄武,30877,2,1,3,1,66.07,0,2,3,1,70,204
秦淮,65335,2,1,3,1,37.04,1,3,3,0,70,242
江宁,19940,2,1,2,1,69.46,1,3,50,1,70,138.5
浦口,22074,2,2,2,1,94.23,1,3,1.5,1,70,208
玄武,29370,2,1,2,1,48.69,0,3,3,0,70,143
江宁,27291,2,2,3,暂无数据,86.11,0,3,2,0,70,235
江宁,34467,2,1,3,1,65.28,0,2,1.5,1,70,225
鼓楼,40163,2,1,2,1,54.28,0,3,3,0,70,218
雨花台,46995,2,2,2,1,91.5,0,3,2,1,70,430
江宁,23229,3,2,3,1,109.78,0,3,2,0,70,255
雨花台,32759,1,1,2,1,58,0,3,25,1,70,190
建邺,28637,2,1,3,1,48.19,0,2,2,0,70,138
浦口,20500,4,2,2,暂无数据,138.54,1,1,2,1,70,284
鼓楼,28794,2,1,2,1,58,0,3,2,0,70,167
雨花台,52306,2,2,2,2,48.37,0,3,50,1,70,253
雨花台,38883,3,1,1,1,123.45,0,3,1.5,1,70,480
秦淮,68486,1,1,1,3,37.38,0,3,10,1,70,256
玄武,26688,2,1,2,1,58.08,1,2,2,0,70,155
建邺,59578,3,2,2,1,122.53,0,3,2,1,70,730
玄武,24838,2,1,3,1,64.42,0,2,2,0,70,160
浦口,21658,3,2,2,1,119.13,1,3,2,0,70,258
江宁,27932,2,1,1,暂无数据,75.9,1,3,4,1,70,212
建邺,34794,3,1,1,1,114.39,0,3,2,1,70,398
江宁,16887,3,2,1,暂无数据,100.67,0,其他,2,0,70,170
建邺,56558,2,1,1,1,94.24,0,2,1.5,1,70,533
秦淮,37822,2,1,3,1,46.27,0,2,5,0,70,175
鼓楼,26480,2,2,2,1,64.2,0,2,3,0,70,170
溧水,11169,2,2,3,1,77,1,1,2,1,70,86
鼓楼,33209,1,1,1,1,40.05,1,2,3,0,70,133
秦淮,36022,1,1,3,3,49.97,0,3,50,1,70,180
秦淮,27121,1,1,2,1,40.56,0,1,2,0,70,110
江宁,29317,1,1,2,1,58.67,0,3,4,1,70,172
雨花台,24442,1,1,3,1,52.37,1,2,100,1,70,128
秦淮,27625,2,1,3,1,50.68,0,2,2,0,70,140
浦口,27547,2,2,1,1,81.68,0,3,3,1,70,225
栖霞,36599,4,2,3,1,128.42,0,3,2,1,70,470
江宁,31282,2,2,3,1,79.28,0,2,2,1,70,248
栖霞,26226,2,1,1,1,54.45,1,2,2,0,70,142.8
江宁,29423,3,2,2,暂无数据,105.02,0,2,2,1,70,309
鼓楼,27107,2,1,2,1,92.23,1,3,2,1,70,250
秦淮,65282,1,1,2,1,33.7,1,2,6,0,70,220
江宁,23973,2,2,3,1,81.97,1,3,2,0,70,196.5
江宁,27223,2,2,3,暂无数据,48.49,1,3,14.66666667,1,70,132
秦淮,36635,2,2,2,1,79.16,0,2,3,0,70,290
鼓楼,42154,2,1,2,1,61.68,0,2,3,0,70,260
江宁,26643,4,2,3,1,137,1,1,1,1,70,365
浦口,23742,3,2,1,1,73.71,0,3,2,1,70,175
江宁,26243,2,1,2,1,78.5,1,2,1.5,1,70,206
江宁,28880,2,2,1,1,90.03,1,3,4,1,70,260
江宁,28176,1,1,3,1,46.14,0,3,20,1,70,130
江宁,25621,2,2,2,1,88.99,0,2,2,0,70,228
建邺,39473,3,2,3,1,134.27,0,2,2,1,70,530
江宁,30289,2,2,1,1,81.22,1,3,2,1,70,246
